Id,Nome,Libreria delle forme,ID pagina,Contenuto da,Gruppo,Sorgente di linea,Destinazione linea,Freccia sorgente,Freccia di destinazione,Stato,Area di testo 1,Area di testo 2,Area di testo 3,Commenti
1,Documento,,,,,,,,,Bozza,Domain Class Diagram,,,
2,Pagina,,,,,,,,,,Domain Class Diagram,,,
3,Classe,UML,2,,,,,,,,Student,"​+ studentId {id}
+ name
+ email
+ resume",,
4,Classe,UML,2,,,,,,,,Company,"​+ companyId {Id}
+ name
+ email
+ internships",,
5,Classe,UML,2,,,,,,,,University,"​+ universityId {Id}
+ name
+ email",,
6,Classe,UML,2,,,,,,,,Internship,"​+ internshipId {Id}
+ title
+ description
+ status: enum
+ publishedDate",,
7,Classe,UML,2,,,,,,,,Complaint,"​+ complaintId {Id}
+ description
+ status: enum",,
8,Classe,UML,2,,,,,,,,Feedback,​+ feedbackId {Id},,
9,Classe,UML,2,,,,,,,,Recommendation,"​+ recommendationId {Id}
+ score ",,
10,Classe,UML,2,,,,,,,,<<Interface>> Notification,,,
11,Linea,,2,,,3,7,None,None,,​+files,0..*,1,
12,Linea,,2,,,3,8,None,None,,​+provides,1,1..*,
13,Linea,,2,,,3,10,None,None,,0..*,0..*,sent to,
14,Linea,,2,,,10,4,None,None,,sent to,0..*,0..*,
15,Linea,,2,,,3,6,None,None,,apply,0..*,0..*,
16,Linea,,2,,,3,9,None,None,,matches,0..*,0..*,
17,Linea,,2,,,9,10,None,None,,originates,0..*,1,
18,Linea,,2,,,9,6,None,None,,generates,0..*,1,
19,Linea,,2,,,4,6,None,None,,publishes,0..*,1,
20,Linea,,2,,,4,8,None,None,,1,​+provides,1..*,
21,Linea,,2,,,4,7,None,None,,1,​+files,0..*,
22,Linea,,2,,,8,6,None,None,,1..*,receives,1,
23,Linea,,2,,,7,5,None,None,,handle,0..*,1,
24,Linea,,2,,,5,6,None,None,,​+monitors,1,0..*,
25,Pagina,,,,,,,,,,State Diagrams,,,
26,Inizia Evento,BPMN 2.0,25,,,,,,,,,,,
27,Compito,BPMN 2.0,25,,,,,,,,Show registration form,,,
28,Compito,BPMN 2.0,25,,,,,,,,Check credentials,,,
29,porta,BPMN 2.0,25,,,,,,,,,,,
30,porta,BPMN 2.0,25,,,,,,,,,,,
31,Compito,BPMN 2.0,25,,,,,,,,"Send confirmation
e-mail",,,
32,Compito,BPMN 2.0,25,,,,,,,,Show error message,,,
33,Compito,BPMN 2.0,25,,,,,,,,Receive confirmation,,,
34,Inizia Evento,BPMN 2.0,25,,,,,,,,,,,
